,prefix
0,
1,'+
2,EFL
3,GR1X1
4,HY30T
5,HY60T30
6,KV1X
7,KVP1X
8,MF
9,RJ1X
10,RJ2X
11,SC
12,SC10
13,SC7
14,SKIN60
15,SVH
16,WF
17,WPA
18,WS20T
19,WS30T
20,WS40T
21,WS60T
22,WSN40T
23,WSN60T
24,WTF
25,WVS30
