,id,amo_id,amo_lead_id,prefix,code,card_type,design_type,status,supplier_payment_date,sale_price,sale_date,expiry_date,card_used_date,created_at,updated_at,deleted_at,number
2098,,,19461686,VWS20,VWS20_012534,electronic,design1,,,2900.0,2021-08-01 13:13:00,,,,,,012534
2101,,,19462810,V2SU60,V2SU60_069440,electronic,design1,sold_used,,1600.0,2021-08-29 17:36:00,,,,,,069440
2102,,,19462888,S,S_U6053343,paper,design1,sold_used,2021-12-10,1600.0,2021-08-01 16:43:00,,2021-12-10,,,,U6053343
2105,,,19472708,S,S_U24186265,paper,design1,,,5000.0,2021-08-06 14:46:00,,,,,,U24186265
2106,,,19474172,V2SU60,V2SU60_034064,electronic,design1,,,1600.0,2021-08-02 20:23:00,,,,,,034064
2110,,,19478456,FJ30,FJ30_33524,paper,design1,,,4350.0,2021-08-20 10:43:00,,,,,,33524
2115,,,19486206,VWS20,VWS20_040369,electronic,design1,,,2900.0,2021-08-03 19:25:00,,,,,,040369
2116,,,19486880,V2SU60,V2SU60_065907,electronic,design1,,,1600.0,2021-08-03 19:23:00,,,,,,065907
2117,,,19488400,V2SU24,V2SU24_092720,electronic,design1,sold_used,2022-04-08,6000.0,2021-08-18 16:59:00,,2022-04-08,,,,092720
2120,,,19493834,S,S_U24163247,paper,design1,sold_used,2022-09-08,4000.0,2021-08-07 21:38:00,,2022-09-08,,,,U24163247
2121,,,19494868,VWS20,VWS20_092033,electronic,design1,sold_used,,2900.0,2021-08-04 13:27:00,,,,,,092033
2124,,,19503468,VWS60,VWS60_043576,electronic,design1,,,,2021-08-04 18:23:00,,,,,,043576
2126,,,19505462,VWS60,VWS60_042810,electronic,design1,sold_used,,7500.0,2021-08-05 08:51:00,,,,,,042810
2131,,,19512223,VWS60,VWS60_044973,electronic,design1,,,,2021-08-05 16:39:00,,,,,,044973
2135,,,19517921,VWS20,VWS20_096231,electronic,design1,sold_used,,2600.0,2021-08-06 11:59:00,,,,,,096231
2136,,,19517937,WS60,WS60_143437,paper,design1,sold_used,,7500.0,2021-08-07 21:40:00,,,,,,143437
2141,,,19521527,VWS20,VWS20_031529,electronic,design1,,,2900.0,2021-08-06 16:58:00,,,,,,031529
2142,,,19524179,VWS20,VWS20_098042,electronic,design1,sold_used,,2600.0,2021-08-06 18:18:00,,,,,,098042
2143,,,19524261,VWS20,VWS20_063548,electronic,design1,sold_used,,2600.0,2021-08-06 18:26:00,,,,,,063548
2148,,,19526613,VWS60,VWS60_012933,electronic,design1,sold_used,,8000.0,2021-08-07 09:51:00,,,,,,012933
2150,,,19527347,VWS20,VWS20_074870,electronic,design1,,,2600.0,2021-08-07 11:39:00,,,,,,074870
2159,,,19536237,WS20,WS20_155819,paper,design1,,,2600.0,2021-08-12 13:57:00,,,,,,155819
2161,,,19536461,S,S_U60187738,paper,design1,,,1600.0,2021-08-12 13:56:00,,,,,,U60187738
2173,,,19548815,VEF30,VEF30_023147,electronic,design1,,,4500.0,2021-08-12 14:35:00,,,,,,023147
2175,,,19549221,WS60,WS60_160740,paper,design1,sold_used,,,2021-08-12 13:47:00,,,,,,160740
2179,,,19554279,VEF30,VEF30_097307,electronic,design1,sold_used,,4500.0,2021-08-11 15:13:00,,,,,,097307
2186,,,19562007,VWS60,VWS60_078896,electronic,design1,,,7500.0,2021-08-12 13:03:00,,,,,,078896
2187,,,19562597,VWS20,VWS20_016960,electronic,design1,sold_used,,,2021-08-12 14:45:00,,,,,,016960
2189,,,19563031,VWS20,VWS20_065978,electronic,design1,sold_used,2022-10-07,2900.0,2021-08-12 14:51:00,,2022-10-07,,,,065978
2192,,,19572585,VWS60,VWS60_086998,electronic,design1,,,8000.0,2021-08-13 13:18:00,,,,,,086998
2193,,,19575451,V2SU60,V2SU60_028785,electronic,design1,sold_used,2022-11-08,1600.0,2021-08-13 16:15:00,,2022-11-08,,,,028785
2194,,,19575527,V2SU60,V2SU60_033637,electronic,design1,sold_used,2023-09-07,1600.0,2021-08-13 17:10:00,,2023-09-07,,,,033637
2198,,,19577245,VWS20,VWS20_074140,electronic,design1,sold_used,,2900.0,2021-08-13 20:47:00,,,,,,074140
2199,,,19577255,VWS20,VWS20_061772,electronic,design1,sold_used,,2900.0,2021-08-13 20:46:00,,,,,,061772
2200,,,19579243,V2SU60,V2SU60_011287,electronic,design1,sold_used,,1600.0,2021-08-14 10:13:00,,,,,,011287
2202,,,19580323,V2SU60,V2SU60_051342,electronic,design1,,,1600.0,2021-08-14 12:11:00,,,,,,051342
2205,,,19580985,VWS20,VWS20_039065,electronic,design1,,,2600.0,2021-08-14 15:44:00,,,,,,039065
2222,,,19608541,WS60,WS60_164248,paper,design1,sold_used,,7500.0,2021-08-20 10:46:00,,,,,,164248
2225,,,19610977,VWS20,VWS20_070840,electronic,design1,,,2900.0,2021-08-18 09:23:00,,,,,,070840
2231,,,19616944,VWS60,VWS60_072648,electronic,design1,,,8000.0,2021-08-18 20:23:00,,,,,,072648
2232,,,19617006,S,S_U24144839,paper,design1,,,5000.0,2021-08-28 12:25:00,,,,,,U24144839
2233,,,19617470,VWS60,VWS60_031529,electronic,design1,,,,2021-08-19 13:48:00,,,,,,031529
2235,,,19627992,VWS60,VWS60_027497,electronic,design1,sold_used,,8000.0,2021-08-19 17:31:00,,,,,,027497
2241,,,19635542,S,S_N2X1082665,paper,design1,,,9000.0,2021-08-20 13:31:00,,,,,,N2X1082665
2243,,,19636778,S,S_KI40179705,paper,design1,sold_used,2022-06-07,5800.0,2021-08-29 17:37:00,,2022-06-07,,,,KI40179705
2251,,,19640242,S,S_KI40161793,paper,design1,,,5000.0,2021-08-28 12:28:00,,,,,,KI40161793
2252,,,19641344,VWS60,VWS60_027051,electronic,design1,,,8000.0,2021-08-20 19:28:00,,,,,,027051
2255,,,19642062,WS20,WS20_117816,paper,design1,sold_used,,5800.0,2021-08-21 20:39:00,,,,,,117816
2257,,,19645250,VWS60,VWS60_020758,electronic,design1,sold_used,,8000.0,2021-08-21 11:17:00,,,,,,020758
2266,,,19656584,FM30,FM30_027777,paper,design1,sold_used,2022-02-05,6000.0,2021-08-28 12:29:00,,2022-02-05,,,,027777
2268,,,19659652,WS20,WS20_152638,paper,design1,,,2600.0,2021-08-28 12:30:00,,,,,,152638
2271,,,19663286,WS60,WS60_142389,paper,design1,sold_used,,7500.0,2021-08-29 17:37:00,,,,,,142389
2277,,,19679058,FMCS45R,FMCS45R_023059,paper,design1,,,,2021-08-28 12:29:00,,,,,,023059
2281,,,19683870,VKVS,VKVS_063871,electronic,design1,sold_used,2022-06-09,12345.0,2021-08-26 10:30:00,,2022-06-09,,,,063871
2283,,,19684238,VEF30,VEF30_051645,electronic,design1,,,4500.0,2021-08-26 09:52:00,,,,,,051645
2291,,,19694462,VWS60,VWS60_093579,electronic,design1,sold_used,,8000.0,2021-08-27 10:40:00,,,,,,093579
2297,,,19704510,FM30,FM30_122322,paper,design1,,,6000.0,2021-09-05 08:57:00,,,,,,122322
2310,,,19728489,WS60,WS60_127438,paper,design1,sold_used,,8000.0,2021-09-03 09:30:00,,,,,,127438
2315,,,19751997,KVS,KVS_075309,paper,design1,sold_used,2022-06-09,12345.0,2021-09-05 08:56:00,,2022-06-09,,,,075309
2332,,,19790039,WS20,WS20_163980,paper,design1,sold_used,,2900.0,2021-09-12 15:38:00,,,,,,163980
2345,,,19824727,VS,VS_KI60094058,electronic,design1,,,8000.0,2021-09-13 10:42:00,,,,,,KI60094058
2351,,,19851359,VFJ30,VFJ30_12890,electronic,design1,,,4350.0,2021-09-16 14:50:00,,,,,,12890
2365,,,19918643,VS,VS_U663260,electronic,design1,,,1600.0,2021-09-24 19:33:00,,,,,,U663260
2387,,,20062767,S,S_N1X121335,paper,design1,,,5000.0,2021-10-13 22:38:00,,,,,,N1X121335
2391,,,20080399,S,S_N2X1063750,paper,design1,sold_used,,9000.0,2021-10-17 18:31:00,,,,,,N2X1063750
2394,,,20109803,S,S_N1X1130017,paper,design1,sold_used,2022-12-02,5000.0,2021-10-29 16:56:00,,2022-12-02,,,,N1X1130017
2418,,,20295521,VKVS,VKVS_32421,electronic,design1,,,12345.0,2021-11-06 14:07:00,,,,,,32421
2425,,,20326525,S,S_N1X1111688,paper,design1,sold_used,2022-12-02,5000.0,2021-11-12 16:14:00,,2022-12-02,,,,N1X1111688
2430,,,20345291,WS20,WS20_168570,paper,design1,,,2600.0,2021-11-21 11:47:00,,,,,,168570
2445,,,20398885,VWS60,VWS60_88569,electronic,design1,,,8000.0,2021-11-17 15:31:00,,,,,,88569
2446,,,20399941,KVS,KVS_096141,paper,design1,,,12345.0,2021-11-24 06:46:00,,,,,,096141
2447,,,20401789,VWS60,VWS60_42085,electronic,design1,,,,2021-11-17 20:34:00,,,,,,42085
2451,,,20409803,S,S_N2X1030687,paper,design1,,,9000.0,2021-11-24 07:59:00,,,,,,N2X1030687
2453,,,20415509,FMCS45R,FMCS45R_084105,paper,design1,,,11000.0,2021-11-24 06:45:00,,,,,,084105
2455,,,20418629,VWS20,VWS20_89610,electronic,design1,sold_used,,,2021-11-20 07:31:00,,,,,,89610
2462,,,20458333,VSN1X1,VSN1X1_53305,electronic,design1,,,5000.0,2021-11-25 14:35:00,,,,,,53305
2463,,,20463357,S,S_N1X1121958,paper,design1,,,5000.0,2022-01-21 09:04:00,,,,,,N1X1121958
2464,,,20468829,S,S_U60184693,paper,design1,,,5000.0,2021-11-30 09:27:00,,,,,,U60184693
2469,,,20491645,VHB20,VHB20_80128,electronic,design1,,,3500.0,2021-11-30 08:21:00,,,,,,80128
2474,,,20511371,VSN1X1,VSN1X1_65929,electronic,design1,sold_used,2022-12-03,5000.0,2021-12-01 21:34:00,,2022-12-03,,,,65929
2490,,,20540603,VSN2X1,VSN2X1_72492,electronic,design1,,,9000.0,2021-12-05 18:04:00,,,,,,72492
2493,,,20555725,S,S_N1X1170069,paper,design1,,,5000.0,2021-12-09 23:00:00,,,,,,N1X1170069
2497,,,20569271,S,S_N1X1165523,paper,design1,,,5000.0,2021-12-12 17:33:00,,,,,,N1X1165523
2499,,,20574459,S,S_N2X1168265,paper,design1,,,9000.0,2021-12-12 17:34:00,,,,,,N2X1168265
2503,,,20588179,VES130,VES130_69706,electronic,design1,sold_used,2022-12-02,9000.0,2021-12-11 14:38:00,,2022-12-02,,,,69706
2515,,,20624941,S,S_N1X183024,paper,design1,,,5000.0,2021-12-22 18:58:00,,,,,,N1X183024
2519,,,20632061,S,S_N1X1138083,paper,design1,sold_used,2022-12-02,5000.0,2021-12-16 08:41:00,,2022-12-02,,,,N1X1138083
2520,,,20636773,SN1X1,SN1X1_179407,paper,design1,sold_used,2022-12-02,,2021-12-17 20:07:00,,2022-12-02,,,,179407
2527,,,20651895,VSN1X1,VSN1X1_39417,electronic,design1,,,5000.0,2021-12-17 20:06:00,,,,,,39417
2532,,,20660145,S,S_N2X1165693,paper,design1,sold_used,2022-12-02,9000.0,2021-12-22 18:23:00,,2022-12-02,,,,N2X1165693
2533,,,20660547,S,S_N1X1177652,paper,design1,,,5000.0,2021-12-22 18:23:00,,,,,,N1X1177652
2536,,,20666383,S,S_N1X1177545,paper,design1,,,5000.0,2021-12-24 14:15:00,,,,,,N1X1177545
2542,,,20676537,KVS,KVS_158064,paper,design1,,,12345.0,2021-12-24 08:19:00,,,,,,158064
2547,,,20679113,FJ30,FJ30_064208,paper,design1,,,4350.0,2021-12-27 13:54:00,,,,,,064208
2551,,,20692391,VWS20,VWS20_34293,electronic,design1,sold_used,2022-09-08,2900.0,2021-12-21 17:16:00,,2022-09-08,,,,34293
2556,,,20700855,VES160,VES160_38495,electronic,design1,sold_used,2022-03-03,6500.0,2021-12-22 17:24:00,,2022-03-03,,,,38495
2557,,,20701113,ES160,ES160_185568,paper,design1,,,6500.0,2021-12-24 14:44:00,,,,,,185568
2560,,,20705101,S,S_N1X1138033,paper,design1,,,5000.0,2021-12-28 21:43:00,,,,,,N1X1138033
2562,,,20711819,VESG2,VESG2_29587,electronic,design1,sold_used,,9000.0,2021-12-25 12:34:00,,,,,,29587
2563,,,20714577,S,S_N1X1125508,paper,design1,sold_used,2022-10-01,5000.0,2021-12-26 18:15:00,,2022-10-01,,,,N1X1125508
2567,,,20716563,S,S_N1X1189469,paper,design1,,,5000.0,2021-12-26 14:17:00,,,,,,N1X1189469
2569,,,20716707,VSN2X1,VSN2X1_05833295,electronic,design1,sold_used,,9000.0,2021-12-23 23:21:00,,,,,,05833295
2577,,,20719881,VES130,VES130_27651,electronic,design1,,,4500.0,2021-12-24 13:38:00,,,,,,27651
2578,,,20720267,VESG2,VESG2_10292,electronic,design1,sold_used,2022-03-03,,2021-12-24 15:25:00,,2022-03-03,,,,10292
2579,,,20720553,SN2X1,SN2X1_190197,paper,design1,sold_used,2022-04-01,9000.0,2022-01-02 10:46:00,,2022-04-01,,,,190197
2581,,,20721063,S,S_N1X1115637,paper,design1,sold_used,2022-12-02,5000.0,2021-12-30 12:11:00,,2022-12-02,,,,N1X1115637
2582,,,20721267,SN2X1,SN2X1_118086,paper,design1,,,9000.0,2021-12-30 12:26:00,,,,,,118086
2583,,,20721811,ESG2,ESG2_132892,paper,design1,sold_used,2022-03-03,18000.0,2021-12-30 12:24:00,,2022-03-03,,,,132892
2587,,,20722561,S,S_N2X1171269,paper,design1,sold_used,2022-12-02,5000.0,2021-12-30 12:21:00,,2022-12-02,,,,N2X1171269
2591,,,20722829,WS60,WS60_159830,paper,design1,,,,2021-12-24 20:40:00,,,,,,159830
2596,,,20729777,VSN2X1,VSN2X1_80037,electronic,design1,sold_used,2022-09-12,9000.0,2021-12-25 18:23:00,,2022-09-12,,,,80037
2598,,,20733379,VSN2X1,VSN2X1_23605,electronic,design1,,,9000.0,2021-12-26 14:16:00,,,,,,23605
2605,,,20735467,VSN1X1,VSN1X1_60310,electronic,design1,sold_used,2022-12-02,5000.0,2021-12-26 23:20:00,,2022-12-02,,,,60310
2607,,,20736421,VSN1X1,VSN1X1_52898,electronic,design1,,,5000.0,2021-12-27 09:20:00,,,,,,52898
2608,,,20739131,S,S_N2X1155778,paper,design1,,,9000.0,2021-12-30 12:19:00,,,,,,N2X1155778
2613,,,20739955,VSN1X1,VSN1X1_84729,electronic,design1,sold_used,,5000.0,2021-12-27 15:16:00,,,,,,84729
2619,,,20744733,SN1X1,SN1X1_161723,paper,design1,,,5000.0,2022-01-03 16:41:00,,,,,,161723
2620,,,20744873,VSN1X1,VSN1X1_43560,electronic,design1,sold_used,,5000.0,2021-12-28 16:06:00,,,,,,43560
2625,,,20746555,ES130,ES130_125904,paper,design1,,,4500.0,2021-12-30 12:12:00,,,,,,125904
2627,,,20747317,ES160,ES160_152287,paper,design1,,,6500.0,2022-01-02 10:39:00,,,,,,152287
2628,,,20747331,VESG2,VESG2_75920,electronic,design1,,,9000.0,2021-12-28 15:46:00,,,,,,75920
2633,,,20748903,SN2X1,SN2X1_040082,paper,design1,,,9000.0,2022-01-02 10:38:00,,,,,,040082
2634,,,20749209,ES230,ES230_137169,paper,design1,,,8500.0,2022-01-02 10:38:00,,,,,,137169
2639,,,20752219,VESG2,VESG2_39215,electronic,design1,sold_used,2022-03-03,9000.0,2021-12-29 12:56:00,,2022-03-03,,,,39215
2641,,,20752449,ES160,ES160_198353,paper,design1,,,6500.0,2022-01-02 10:37:00,,,,,,198353
2644,,,20753095,VSN1X1,VSN1X1_39970,electronic,design1,sold_used,2022-12-02,5000.0,2021-12-29 17:48:00,,2022-12-02,,,,39970
2645,,,20754105,ES160,ES160_183665,paper,design1,,,5500.0,2022-01-02 10:37:00,,,,,,183665
2646,,,20754283,VSN1X1,VSN1X1_92729,electronic,design1,,,5000.0,2021-12-29 13:59:00,,,,,,92729
2648,,,20755051,SN1X1,SN1X1_157324,paper,design1,,,5000.0,2022-01-02 10:36:00,,,,,,157324
2650,,,20755503,VES160,VES160_32096,electronic,design1,,,5500.0,2021-12-29 16:52:00,,,,,,32096
2653,,,20755821,VES130,VES130_93960,electronic,design1,sold_used,2022-03-03,4000.0,2021-12-29 18:17:00,,2022-03-03,,,,93960
2656,,,20756263,ESG1,ESG1_134842,paper,design1,sold_used,2022-03-03,4500.0,2022-01-02 10:36:00,,2022-03-03,,,,134842
2669,,,20759893,VES160,VES160_78169,electronic,design1,,,5500.0,2021-12-30 14:27:00,,,,,,78169
2671,,,20760121,ESG1,ESG1_151133,paper,design1,sold_used,2022-03-03,4500.0,2021-12-31 19:22:00,,2022-03-03,,,,151133
2672,,,20760129,S,S_N2X1025037,paper,design1,sold_used,2022-12-03,9000.0,2021-12-31 19:21:00,,2022-12-03,,,,N2X1025037
2673,,,20760305,ESG2,ESG2_145435,paper,design1,,,18000.0,2021-12-31 19:21:00,,,,,,145435
2674,,,20761123,ES130,ES130_197350,paper,design1,,,4000.0,2021-12-31 19:21:00,,,,,,197350
2675,,,20761231,VSN1X1,VSN1X1_91367,electronic,design1,sold_used,2022-12-02,5000.0,2021-12-30 19:22:00,,2022-12-02,,,,91367
2679,,,20761693,VES130,VES130_127374611,electronic,design1,,,4000.0,2021-12-30 23:27:00,,,,,,127374611
2682,,,20763107,VES230,VES230_61423,electronic,design1,,,7000.0,2021-12-31 10:55:00,,,,,,61423
2683,,,20763475,VSN1X1,VSN1X1_93646,electronic,design1,sold_used,,5000.0,2021-12-31 11:49:00,,,,,,93646
2686,,,20763693,VSN2X1,VSN2X1_26239,electronic,design1,sold_used,2022-02-01,9000.0,2021-12-31 12:32:00,,2022-02-01,,,,26239
2690,,,20764193,VKVS,VKVS_20953,electronic,design1,,,12345.0,2021-12-31 14:38:00,,,,,,20953
2691,,,20764207,VES130,VES130_93029,electronic,design1,,,9000.0,2021-12-31 14:45:00,,,,,,93029
2700,,,20769789,VSN1X1,VSN1X1_71754,electronic,design1,sold_used,2022-07-01,5000.0,2022-01-01 16:56:00,,2022-07-01,,,,71754
2701,,,20770459,VWS20,VWS20_20713,electronic,design1,,,2600.0,2022-01-01 22:46:00,,,,,,20713
2703,,,20774417,SN1X1,SN1X1_143194,paper,design1,sold_used,2022-12-03,5000.0,2022-01-05 20:29:00,,2022-12-03,,,,143194
2708,,,20782051,ESG2,ESG2_173082,paper,design1,sold_used,2022-04-01,18000.0,2022-01-04 21:29:00,,2022-04-01,,,,173082
2710,,,20794343,VSN1X1,VSN1X1_98338,electronic,design1,sold_used,2022-03-01,5000.0,2022-01-06 16:38:00,,2022-03-01,,,,98338
2712,,,20800673,ES230,ES230_122814,paper,design1,,,7000.0,2022-01-15 22:39:00,,,,,,122814
2716,,,20812511,VSN1X1,VSN1X1_71166,electronic,design1,sold_used,2022-12-03,5000.0,2022-01-10 11:35:00,,2022-12-03,,,,71166
2718,,,20813343,VES160,VES160_90993,electronic,design1,,,5500.0,2022-01-10 13:05:00,,,,,,90993
2722,,,20831983,VEF30,VEF30_20201,electronic,design1,sold_used,2023-05-08,5500.0,2022-01-12 16:18:00,,2023-05-08,,,,20201
2726,,,20845139,VWS60,VWS60_29316,electronic,design1,sold_used,,7500.0,2022-01-14 12:52:00,,,,,,29316
2728,,,20845739,VSN1X1,VSN1X1_69989,electronic,design1,sold_used,2022-12-02,5000.0,2022-01-14 13:09:00,,2022-12-02,,,,69989
2749,,,20910305,KR1,KR1_162789,paper,design1,,,,2022-01-23 11:58:00,,,,,,162789
2754,,,20919331,MT2,MT2_157971,paper,design1,sold_used,,5000.0,2022-01-26 21:48:00,,,,,,157971
2755,,,20919955,VMT2,VMT2_71052,electronic,design1,sold_used,2022-02-08,7000.0,2022-01-24 15:49:00,,2022-02-08,,,,71052
2756,,,20920493,ESG1,ESG1_146863,paper,design1,sold_used,2022-03-03,5500.0,2022-01-26 13:46:00,,2022-03-03,,,,146863
2757,,,20925213,SN1X1,SN1X1_189705,paper,design1,sold_used,2022-12-03,5000.0,2022-01-26 21:49:00,,2022-12-03,,,,189705
2758,,,20927863,VMT2,VMT2_50652,electronic,design1,sold_used,,7000.0,2022-01-25 14:08:00,,,,,,50652
2760,,,20936073,VES160,VES160_34245,electronic,design1,sold_used,,4500.0,2022-01-25 23:09:00,,,,,,34245
2762,,,20939053,VKVS,VKVS_31082,electronic,design1,,,12345.0,2022-01-26 13:43:00,,,,,,31082
2764,,,20949391,VMT2,VMT2_2494720,electronic,design1,sold_used,2023-03-05,7000.0,2023-01-15 17:28:00,,2023-03-05,,,,2494720
2767,,,20955991,VES160,VES160_53954,electronic,design1,,,4500.0,2022-01-27 14:40:00,,,,,,53954
2769,,,20958925,WS20,WS20_159149,paper,design1,,,2600.0,2022-01-30 21:12:00,,,,,,159149
2770,,,20959137,SN2X1,SN2X1_170171,paper,design1,sold_used,2022-12-02,9000.0,2022-01-30 21:12:00,,2022-12-02,,,,170171
2772,,,20968757,VFJ30,VFJ30_40703,electronic,design1,sold_used,2022-04-08,4350.0,2022-01-28 20:00:00,,2022-04-08,,,,40703
2773,,,20971275,VSN2X1,VSN2X1_52770,electronic,design1,sold_used,2022-12-02,9000.0,2022-01-29 09:39:00,,2022-12-02,,,,52770
2774,,,20972111,VSN1X1,VSN1X1_82095,electronic,design1,,,5000.0,2022-01-29 11:35:00,,,,,,82095
2778,,,20981977,ESG2,ESG2_130616,paper,design1,,,10000.0,2022-02-01 16:43:00,,,,,,130616
