,prefix
0,
1,60WAKE
2,AT
3,AWP
4,DF60
5,DRS2H
6,EB1X1
7,EFL
8,ESG127419
9,HY30T
10,HY60T30
11,JT2
12,KPV1X1
13,KV1X
14,KVC
15,KVP1X
16,KVP1X2
17,MF
18,MF20560
19,PH20
20,SKI40T
21,SN2X4
22,SN60
23,SNX1
24,SV60
25,SVH
26,TR30
27,WF
28,WPA
29,WS
30,WS20T
31,WS20TR
32,WS30T
33,WS40T
34,WS6
35,WS60T
36,WSN40T
37,WSN60T
38,WTF
