,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
1449,18763091,Успешно_реализовано,9500.0,2021-06-07 15:01:28,2021-06-11 09:27:00,350.0,620,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_45_минут_полёта_)_-_1x9000_=_9000,9350.0,9000.0,9500,Авиа_Самолёты,FM45022134,,,,,,,,,,,,,,,,,,,,,,
1497,18859675,Успешно_реализовано,4000.0,2021-06-11 16:25:28,2021-06-11 16:51:00,,,Подарочный_сертификатна_сап-сёрфинг_(Выберите_тип:_Целый_день_на_двоих_-_4000_руб._)_-_1x4000_=_4000,4000.0,,4000,Вейк-парк,56022,,,,,,,,,,,,,,,,,,,,,,
1533,18957025,Успешно_реализовано,12350.0,2021-06-16 20:42:33,2021-06-17 19:22:00,350.0,439,"Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_45_минут_полёта_)_-_1x9000_=_9000;_
Сертификат_на_видеосъемку_полёта_(Чтобы_запечатлеть_самые_искренние_эмоции)_-_1x3000_=_3000",12350.0,12000.0,12350,Авиа_Самолёты,FM45169540,,PH022,,,,,Погашен,,,,,,,,,,,,,,,
1542,18978659,Успешно_реализовано,8200.0,2021-06-17 20:54:36,2021-06-27 11:50:00,290.0,480,Подарочный_сертификатна_вейк_за_катером_(Выберите_тип:_30_минут_-_3_900_руб._)_-_2x3900_=_7800,8090.0,7800.0,8200,Вейксёрф_и_вейк_за_катером,22766,,,,,,,,,,,,,,,,,,,,,,
1554,18992639,Успешно_реализовано,4400.0,2021-06-18 16:58:42,2021-06-21 18:58:00,400.0,,Подарочный_сертификатна_сап-сёрфинг_(Выберите_тип:_Целый_день_на_двоих_-_4000_руб._)_-_1x4000_=_4000,4400.0,4000.0,4400,САП-сёрф,2SU24034306,,,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
1570,19019611,Успешно_реализовано,7000.0,2021-06-20 21:34:58,2021-06-22 21:43:00,0.0,,Подарочный_сертификатна_Квадроциклы_(Выберите_тип:_1_квадрик_на_2_часа_без_пассажира_-_7000_)_-_1x7000_=_7000,7000.0,7000.0,7000,Квадроциклы,75392,,KVP2X1_010884,,,,,,,,,,,,,,,,,,,,
1582,19037005,Успешно_реализовано,6000.0,2021-06-21 18:35:23,2021-06-21 18:53:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM306899481,,,,,,,,,,,,,,,,,,,,,,
1589,19049351,Успешно_реализовано,4350.0,2021-06-22 12:27:42,2021-06-26 10:45:00,350.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_1x4000_=_4000,4350.0,4000.0,4350,САП-сёрф,2SU24128480,,,,,,,,,,,,,,,,,,,,,,
1615,19098265,Успешно_реализовано,8290.0,2021-06-24 14:10:21,2021-06-25 12:37:00,290.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_2x4000_=_8000,8290.0,8000.0,8290,САП-сёрф,2SU24017196,,2SU24120273,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
1636,19119683,Успешно_реализовано,4000.0,2021-06-26 12:01:07,2021-06-27 00:55:00,0.0,,Подарочный_сертификатна_сап-сёрфинг_(Выберите_тип:_Целый_день_на_двоих_-_4000_руб._)_-_1x4000_=_4000,4000.0,4000.0,4000,САП-сёрф,2SU24044491,,,,,,,,,,,,,,,,,,,,,,
1656,19130533,Успешно_реализовано,7000.0,2021-06-28 09:52:02,2021-06-28 13:45:00,0.0,,Подарочный_сертификатна_Квадроциклы_(Выберите_тип:_1_квадрик_на_2_часа_без_пассажира_-_7000_)_-_1x7000_=_7000,7000.0,7000.0,7000,Квадроциклы,VK2X17342111,,,,,,,,,,,,,,,,,,,,,,
1660,19132305,Успешно_реализовано,7400.0,2021-06-28 12:21:03,2021-06-29 17:02:00,400.0,388,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Целый_день_на_двоих_-_7_000_руб._)_-_1x7000_=_7000,7400.0,7000.0,7400,Вейк-парк,2WP97485,,,,,,,,,,,,,,,,,,,,,,
1665,19135117,Успешно_реализовано,8350.0,2021-06-28 17:06:02,2021-06-30 13:57:00,350.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_2x4000_=_8000,8350.0,8000.0,8350,САП-сёрф,2SU24011462,,2SU24040811,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
1753,19199281,Успешно_реализовано,4000.0,2021-07-05 19:28:04,2021-07-06 16:02:00,0.0,,Подарочный_сертификатна_Квадроциклы_(Выберите_тип:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4000.0,4000.0,4000,Квадроциклы,KV1P1X1020918944,,,,,,,,,,,,,,,,,,,,,,
1769,19231259,Успешно_реализовано,4290.0,2021-07-07 14:41:18,2021-07-11 18:55:00,290.0,336,Подарочный_сертификатна_сап-сёрфинг_(Выберите_тип:_Целый_день_на_двоих_-_4000_руб._)_-_1x4000_=_4000,4290.0,4000.0,4290,САП-сёрф,2SU24126301,,,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
1786,19237733,Успешно_реализовано,4400.0,2021-07-08 13:24:09,2021-07-09 00:58:00,400.0,527,Подарочный_сертификат_на_квадроциклы_(Выберите_вариант_сертификата:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4400.0,4000.0,4400,Квадроциклы,KV1P1X1048312,,,,,,,,,,,,,,,,,,,,,,
1883,19333746,Успешно_реализовано,7500.0,2021-07-15 16:02:04,2021-07-20 15:58:00,0.0,,Подарочный_сертификатна_прогулку_на_самолёте_Cessna_172_(Выберите_тип:_30_минут_полёта_(до_3_чел.)_)_-_1x7500_=_7500,7500.0,7500.0,,Авиа_Самолёты,49648,,,,,,,,,,,,,,,,,,,,,,
1972,19389925,Успешно_реализовано,9000.0,2021-07-22 11:50:27,2021-07-24 19:47:00,400.0,,Подарочный_сертификатна_викенд_на_Сёрф_Ранчо_(Выберите_тип:_Для_одного_(2_ч.)_+_проживание_(можно_+1)_)_-_1x8600_=_8600,9000.0,8600.0,9000,Искусственная_волна,LB1X085980,,,,,,,,,,,,,,,,,,,,,,
2129,19511883,Успешно_реализовано,2600.0,2021-08-05 15:29:41,2021-08-05 16:23:00,290.0,,Подарочный_сертификатна_Вейкборд_за_катером_(Выберите_тип:_20_минут_)_-_1x2600_=_2600,2890.0,2600.0,2600,Вейксёрф_и_вейк_за_катером,64031,,VWS20_034280,,,,,,,,,,,,,,,,,,,,
2273,19672492,Успешно_реализовано,9350.0,2021-08-24 19:27:27,2021-08-29 17:38:00,350.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_45_минут_полёта_)_-_1x9000_=_9000,9350.0,9000.0,9350,Авиа_Самолёты,FM450705739959,,,,,,,Погашен,,,,,,,,,,,,,,,
2352,19857763,Успешно_реализовано,5500.0,2021-09-16 18:39:01,2021-09-17 10:23:00,0.0,,Подарочный_сертификатв_крытый_Вейк-парк_(Выберите_тип:_1_сеанс_тренировки_на_двоих_5500_р._)_-_1x5500_=_5500,5500.0,5500.0,5500,,VGR71136,,,,,,,Погашен,2022-01-03,,,,,,,,,,,,,,
2353,19859479,Успешно_реализовано,3000.0,2021-09-16 22:13:03,2021-09-17 10:42:00,0.0,,"Подарочный_сертификатна_Электробайк_(Выберите_тип:_1,5_ч_катания_для_1_человека_-_3000_р_)_-_1x3000_=_3000",3000.0,3000.0,3000,Мото_Электробайк,VEB197422,,,,,,,,,,,,,,,,,,,,,,
2357,19864137,Успешно_реализовано,12000.0,2021-09-17 13:59:03,2021-09-17 15:09:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_60_минут_полёта_)_-_1x12000_=_12000,12000.0,12000.0,12000,Авиа_Самолёты,VFMCS498584,,,,,,,,,,,,,,,,,,,,,,
2366,19923789,Успешно_реализовано,4500.0,2021-09-25 18:17:03,2021-09-25 19:20:00,0.0,,Подарочный_сертификат_на_Серфинг_в_Москве_(Выберите_вариант_сертификата:_1_час_катания_в_группе_(для_одного)_)_-_1x4500_=_4500,4500.0,4500.0,4500,Искусственная_волна,VCW80488,,,,,,,,,,,,,,,,,,,,,,
2373,19962909,Успешно_реализовано,4500.0,2021-09-30 14:50:23,2021-09-30 16:19:00,0.0,,Подарочный_сертификатна_флайборд_(Выберите_тип:_30_минут_-_4_500_руб._)_-_1x4500_=_4500,4500.0,4500.0,4500,Флайборд_/_Ховерборд_/_Ранец,VMF362701,,,,,,,,,,,,,,,,,,,,,,
2374,19965157,Успешно_реализовано,9500.0,2021-09-30 19:46:06,2021-09-30 20:15:00,0.0,,Подарочный_сертификатна_прогулку_на_самолёте_Cessna_182_или_Piper_(Выберите_тип:_30_минут_полёта_(до_3х_пассажиров)_)_-_1x9500_=_9500,9500.0,9500.0,9500,Авиа_Самолёты,VFMCS347872,,,,,,,,,,,,,,,,,,,,,,
2377,20000311,Успешно_реализовано,3600.0,2021-10-05 15:16:33,2021-10-05 18:37:00,0.0,,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Пакет_старт_на_одного_-_1_800_руб._)_-_2x1800_=_3600,3600.0,3600.0,3600,Вейк-парк,VWP118866,,VWP151939,,,,,,,,,,,,,,,,,,,,
2381,20006059,Успешно_реализовано,9500.0,2021-10-06 11:50:53,2021-10-07 15:15:00,,,,,,9500,Авиа_Самолёты,VFMCS311087,,,,,,,,,,,,,,,,,,,,,,
2385,20044381,Успешно_реализовано,5000.0,2021-10-11 16:04:18,2021-10-11 22:24:00,0.0,,Подарочный_сертификатна_Ховерборд_(Выберите_тип:_30_минут_)_-_1x5000_=_5000,5000.0,5000.0,5000,Флайборд_/_Ховерборд_/_Ранец,HB43863,,,,,,,,,,,,,,,,,,,,,,
2388,20066159,Успешно_реализовано,4500.0,2021-10-14 11:20:33,2021-10-14 11:54:00,0.0,,Подарочный_сертификат_на_Серфинг_в_Москве_(Выберите_вариант_сертификата:_1_час_катания_в_группе_(для_одного)_)_-_1x4500_=_4500,4500.0,4500.0,4500,Искусственная_волна,VCW42116,,,,,,,,,,,,,,,,,,,,,,
2392,20088107,Успешно_реализовано,10400.0,2021-10-17 17:20:20,2021-10-17 18:30:00,400.0,,Подарочный_сертификатна_электрофойл_(Выберите_тип:_1_час_-_10_000_руб._)_-_1x10000_=_10000,10400.0,10000.0,10000,Электрофойл,VEF651773,,,,,,,,,,,,,,,,,,,,,,
2395,20109979,Успешно_реализовано,19490.0,2021-10-20 14:36:56,2021-10-29 16:55:00,290.0,561,Подарочный_сертификатна_занятие_в_школе_дрифта_(2_часа_инд._занятий_авто_клуба)_-_1x19200_=_19200,19490.0,19200.0,19490,Авто_Дрифт,DRC21013943,,,,,,,,,,,,,,,,,,,,,,
2400,20141739,Успешно_реализовано,6000.0,2021-10-24 11:41:43,2021-10-24 12:07:00,,,"Подарочный_сертификатна_Электробайк_(Выберите_тип:_1,5_ч_катания_для_2_человек_-_6000_р_)_-_1x6000_=_6000",6000.0,6000.0,6000,Мото_Электробайк,VEB215034,,,,,,,,,,,,,,,,,,,,,,
2404,20223847,Успешно_реализовано,5600.0,2021-10-29 13:49:03,2021-10-29 16:26:00,0.0,,Подарочный_сертификатна_полёт_в_аэротрубе_(Выберите_тип:_6_минут_полёта_(для_1-2_человек)_)_-_1x5600_=_5600,5600.0,5600.0,5600,Аэротруба,VAT55464,,,,,,,,,,,,,,,,,,,,,,
2409,20246191,Успешно_реализовано,4500.0,2021-11-01 11:27:04,2021-11-01 11:50:00,0.0,,Подарочный_сертификатна_Искусственную_Волну_(Выберите_тип:_1_час_катания_для_одного_в_группе_)_-_1x4500_=_4500,4500.0,4500.0,4500,Искусственная_волна,VCW78133,,,,,,,,,,,,,,,,,,,,,,
2411,20251613,Успешно_реализовано,12345.0,2021-11-01 20:21:05,2021-11-01 20:40:00,0.0,,Универсальный_сертификат_-_1x12345_=_12345,12345.0,12345.0,12345,Универсальный_Мосвейк_12345,VW&31499,,,,,,,,,,,,,,,,,,,,,,
2420,20301050,Успешно_реализовано,3000.0,2021-11-07 10:52:02,2021-11-07 11:50:00,0.0,,"Подарочный_сертификатна_Электробайк_(Выберите_тип:_1,5_ч_катания_для_1_человека_-_3000_р_)_-_1x3000_=_3000",3000.0,3000.0,3000,Мото_Электробайк,67031,,,,,,,,,,,,,,,,,,,,,,
2429,20343349,Успешно_реализовано,4500.0,2021-11-11 12:21:03,2021-11-11 12:40:00,0.0,,Подарочный_сертификатна_Искусственную_Волну_(Выберите_тип:_1_час_катания_для_одного_в_группе_)_-_1x4500_=_4500,4500.0,4500.0,4500,Искусственная_волна,VCW56865,,,,,,,Погашен,2022-01-03,,,,,,,,,,,,,,
2476,20514765,Успешно_реализовано,31790.0,2021-12-02 09:44:59,2021-12-04 08:23:00,290.0,,Подарочный_сертификатна_Искусственную_Волну_(Выберите_тип:_Аренда_искусственной_волны_на_1_час_)_-_1x33000_=_33000,33290.0,33000.0,31790,Искусственная_волна,CWH034943,,,,,,,Погашен,,,,,,,,,,,,,,,
2512,20621753,Успешно_реализовано,40350.0,2021-12-14 13:12:57,2021-12-16 10:40:00,350.0,699,Подарочный_сертификатна_поездку_на_гоночном_такси_(Выберите_вариант_сертификата:_RaceDay_(гоночное_такси_+_заезд_по_трассе)_)_-_1x40000_=_40000,40350.0,40000.0,40350,Авто_Заезд_на_спорткаре,RX177012,,,,,,,Погашен,,,,,,,,,,,,,,,
2558,20703567,Успешно_реализовано,14200.0,2021-12-22 23:15:03,2021-12-25 12:04:00,,1181,Подарочный_сертификатна_катание_на_электросноуборде_(Выберите_тип:_60_минут_на_двоих_)_-_1x13000_=_13000,13000.0,13000.0,14200,Снегоходы,ES260159482,,,,,,,Погашен,2022-03-03,,,,,,,,,,,,,,
2572,20718005,Успешно_реализовано,10350.0,2021-12-24 09:20:43,2021-12-28 21:42:00,,383,,,,10350,Авиа_Самолёты,DRB15191244,,,,,,,Погашен,,,,,,,,,,,,,,,
2610,20739495,Успешно_реализовано,19600.0,2021-12-27 13:15:58,2021-12-30 12:19:00,400.0,,Подарочный_сертификат_на_занятие_в_школе_дрифта_(2_часа_инд._занятий_авто_клуба)_-_1x19200_=_19200,19600.0,19200.0,12600,Авто_Дрифт,DR2H119048,,,,,,,Погашен,,,,,,,,,,,,,,,
2852,21104873,Успешно_реализовано,0.0,2022-02-14 13:51:29,2022-03-01 11:56:00,,,,,,0,Электрофойл,ELF30176486,,,,,,,,,,,,,,,,,,,,,,
2873,21140213,Успешно_реализовано,4500.0,2022-02-16 14:59:06,2022-02-16 16:01:00,0.0,,Подарочный_сертификат_на_Флайборд_(Выберите_тип:_30_минут_)_-_1x4500_=_4500,4500.0,4500.0,4500,Флайборд_/_Ховерборд_/_Ранец,97922,,,,,,,,,,,,,,,,,,,,,,
2909,21166277,Успешно_реализовано,30483.0,2022-02-19 13:46:00,2022-02-21 22:46:00,0.0,,Подарочный_сертификатна_заезд_на_спорткаре_по_гоночной_трассе_(Выберите_тип:_Full_eXperience_)_-_1x28900_=_28900,28900.0,28900.0,30483,Авто_Дрифт,RX185397,,,,,,,Погашен,,,,,,,,,,,,,,,
3015,21311499,Успешно_реализовано,3500.0,2022-03-02 16:15:37,2022-03-04 21:23:00,0.0,,Подарочный_сертификатна_ховерборд_(Выберите_тип:_20_минут_-_3_500_руб._)_-_1x3500_=_3500,3500.0,3500.0,3500,Флайборд_/_Ховерборд_/_Ранец,98391,,,,,,,,,,,,,,,,,,,,,,
3027,21332919,Успешно_реализовано,4000.0,2022-03-05 13:59:05,2022-03-05 20:56:00,0.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_1x4000_=_4000,4000.0,4000.0,4000,САП-сёрф,2SU24035192,,,,,,,,,,,,,,,,,,,,,,
3071,21469207,Успешно_реализовано,29753.0,2022-03-26 15:06:48,2022-03-26 23:02:00,,,Подарочный_сертификатна_поездку_на_гоночном_такси_(Выберите_тип:_Full_eXperience_)_-_1x28900_=_28900,28900.0,28900.0,29753,Авто_Экстр._вождение,RX151810,,,,,,,Погашен,2022-10-06,,,,,,,,,,,,,,
3393,21853529,Успешно_реализовано,8600.0,2022-05-22 19:23:33,2022-05-22 19:35:00,,,Подарочный_сертификатна_викенд_на_Сёрф_Ранчо_(Выберите_тип:_Для_одного_(2_ч.)_+_проживание_(можно_+1)_)_-_1x8600_=_8600,8600.0,8600.0,8600,Искусственная_волна,LB1X090433,,,,,,,,,,,,,,,,,,,,,,
3623,21987171,Успешно_реализовано,4950.0,2022-06-13 19:20:30,2022-06-16 18:56:00,350.0,,Подарочный_сертификатна_флайборд_(Выберите_тип:_30_минут_-_4_500_руб._)_-_2x4500_=_9000,9350.0,9000.0,4950,Флайборд_/_Ховерборд_/_Ранец,10373,,MF30_134933,,,,,,,,,,,,,,,,,,,,
3678,22013423,Успешно_реализовано,10900.0,2022-06-17 13:48:39,2022-06-18 22:26:00,,,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Целый_день_на_двоих_-_10_000_руб._)_-_1x10000_=_10000,10000.0,10000.0,10900,Вейк-парк,2WP280577,,,,,,,,,,,,,,,,,,,,,,
3681,22015091,Успешно_реализовано,4500.0,2022-06-17 16:18:47,2022-06-18 22:21:00,0.0,,Подарочный_сертификатна_вейк_за_катером_(Выберите_тип:_30_минут_Mastercraft/Tige_-_4_500_руб._)_-_1x4500_=_4500,4500.0,4500.0,4500,Вейксёрф_и_вейк_за_катером,W3043227,,,,,,,,,,,,,,,,,,,,,,
3860,22078429,Успешно_реализовано,4000.0,2022-06-28 11:49:00,2022-06-28 20:02:00,400.0,,Подарочный_сертификат_в_Вейк-парк_(Выберите_тип:_Пакет_старт_на_одного_)_-_1x2000_=_2000,2400.0,2000.0,4000,Вейк-парк,WP140104,,SU60190183,,,,,Погашен,2022-10-07,,,,,,,,,,,,,,
4030,22147253,Успешно_реализовано,0.0,2022-07-08 17:05:10,2022-07-08 18:30:00,,,,,,,,43881,,,,,,,,,,,,,,,,,,,,,,
4050,22153063,Успешно_реализовано,22000.0,2022-07-10 12:43:00,2022-07-10 13:34:00,,,"Вертолет_Robinson_R44_(Варианты:_30_минут_полёта_(до_3х_чел),_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа))_-_1x22000_=_22000",22000.0,22000.0,22000,Авиа_Вертолет,VRB3038756,,,,,,,,,,,,,,,,,,,,,,
4066,22160865,Успешно_реализовано,7350.0,2022-07-11 17:38:29,2022-07-11 21:21:00,350.0,,"Мотокросс_и_Эндуро_(Варианты:_2_часа_с_тренером_(выходные),_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7350.0,7000.0,7350,Мото_Мотокросс,67787,,MT2200410,,,,,,,,,,,,,,,,,,,,
4129,22188413,Успешно_реализовано,12000.0,2022-07-16 12:11:13,2022-07-16 12:19:00,0.0,,"Заезд_на_Дрифт_Трайке_(Варианты:_Заезд_40_минут_на_двоих,_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа))_-_1x12000_=_12000",12000.0,12000.0,12000,Мото_Дрифт-трайк,VDT4248276,,,,,,,Погашен,,,,,,,,,,,,,,,
4157,22200627,Успешно_реализовано,6400.0,2022-07-19 00:30:25,2022-07-20 09:05:00,400.0,,Подарочный_сертификатна_сап-сёрфинг_(Выберите_тип:_Целый_день_на_двоих_-_6000_руб._)_-_1x6000_=_6000,6400.0,6000.0,6400,САП-сёрф,2SU24075079,,,,,,,Погашен,,,,,,,,,,,,,,,
4293,22274597,Успешно_реализовано,4200.0,2022-07-29 19:56:51,2022-07-29 20:08:00,0.0,,"Подарочный_сертификатна_вейк_за_катером_(Выберите_тип:_20_минут_Mastercraft/Tige_-_3_000_руб._,_Тренер:_30_минут_с_тренером)_-_1x4200_=_4200",4200.0,4200.0,4200,Вейксёрф_и_вейк_за_катером,20055,,,,,,,Погашен,,,,,,,,,,,,,,,
4413,22341953,Успешно_реализовано,10400.0,2022-08-08 12:49:54,2022-08-13 13:49:00,400.0,,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Целый_день_на_двоих_-_10_000_руб._)_-_1x10000_=_10000,10400.0,10000.0,10400,Вейк-парк,2WP242568,,,,,,,,,,,,,,,,,,,,,,
4505,22404459,Успешно_реализовано,21500.0,2022-08-17 07:49:45,2023-01-26 20:07:00,,,"Полет_на_параплане_(Варианты:_Полет_с_инструктором_с_воздушным_пилотажем_для_двоих,_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа))_-_2x7500_=_15000;_
Полет_на_параплане_(Варианты:_2_полета_с_инструктором_(для_двоих),_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа))_-_1x6500_=_6500",21500.0,21500.0,21500,Параплан,2064640,,VPP2P_2012385,,,,,Погашен,,,,,,,,,,,,,,,
4711,22695849,Успешно_реализовано,4900.0,2022-09-22 09:07:52,2022-09-22 13:28:00,400.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4900.0,4500.0,4900,Параплан,12759,,P1200933DEZ,,,,,,,,,,,,,,,,,,,,
5050,23443225,Успешно_реализовано,0.0,2023-01-10 18:29:34,2023-01-10 18:29:00,,,,,,,Вейк-парк,VWP16326,,,,,,,,,,,,,,,,,,,,,,
5059,23456591,Успешно_реализовано,10500.0,2023-01-12 17:38:01,2023-01-14 05:22:00,500.0,,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Целый_день_на_двоих_-_10_000_руб._)_-_1x10000_=_10000,10500.0,10000.0,10500,Вейк-парк,2WP292988,,,,,,,,,9000,,,,,,,,,,,,,
5494,23959571,Успешно_реализовано,5600.0,2023-03-28 19:29:43,2023-03-28 22:01:00,,,"Аэротруба_(Варианты:_6_минут_полёта_(для_1-2_человек),_Бумажный_или_электронный:_Электронный_(высылаем_в_течение_часа))_-_1x5600_=_5600",5600.0,5600.0,5600,Аэротруба,VAT29036,,,,,,,,,4480,,,,,,,,,,,,,
5496,23963847,Успешно_реализовано,6000.0,2023-03-29 12:47:10,2023-03-29 13:05:00,0.0,,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Пакет_старт_на_одного_-_2_000_руб._)_-_3x2000_=_6000,6000.0,6000.0,6000,Вейк-парк,VWP176445,,,,,,,Погашен,,,,,,,,,,,,,,,
5497,23963995,Успешно_реализовано,0.0,2023-03-29 13:01:14,2023-03-29 13:01:00,,,,,,,САП-сёрф,VWP113594,23963847,,,,,,Погашен,2023-10-08,,,,,,,,,,,,,,
5498,23964015,Успешно_реализовано,0.0,2023-03-29 13:02:24,2023-03-29 13:02:00,,,,,,,САП-сёрф,VWP127157,,,,,,,Погашен,2023-10-08,,,,,,,,,,,,,,
5595,24084549,Успешно_реализовано,5700.0,2023-04-15 21:38:45,2023-05-01 16:47:00,500.0,,"катание_на_картинге_(Варианты:_40_минут_катания,_Бумажный_или_электронный:_Бумажный)_-_1x5200_=_5200",5700.0,5200.0,,Картинг,77556,,,,,,,,,4400,,,,,,,,,,,,,
8247,26872095,Успешно_реализовано,10000.0,2024-02-15 20:42:08,2024-02-16 10:33:00,,,,,,,,82046,,,,,,,,,,,,,,,,,,,,,,
8248,26872373,Успешно_реализовано,0.0,2024-02-15 21:33:58,2024-02-16 10:33:00,,,,,,,,67399,,,,,,,,,,,,,,,,,,,,,,
8284,8577515,,,2020-06-22 18:25:34,2020-07-10 18:04:00,,,,,,,,012611,,,,,,,,,,,,,,,,,,,,,,
8327,10987291,,,2020-08-31 17:21:52,2020-09-02 21:54:00,,,,,,,,2WP24511,,,,,,,,,,,,,,,,,,,,,,
8348,15044431,,,2020-12-29 23:05:28,2020-12-30 13:52:00,,,,,,,,АТ4071537,,,,,,,,,,,,,,,,,,,,,,
8365,16097677,,,2021-02-14 21:01:38,2021-02-18 16:25:00,,,,,,,,РН009,,,,,,,,,,,,,,,,,,,,,,
8370,16202345,,,2021-02-18 11:16:15,2021-02-22 21:50:00,,,,,,,,РН007,,,,,,,,,,,,,,,,,,,,,,
8373,16256447,,,2021-02-20 16:26:07,2021-02-22 21:55:00,,,,,,,,ЕВ1Х100153,,,,,,,,,,,,,,,,,,,,,,
8454,19098265,,,2021-06-24 14:10:21,2021-06-25 12:37:00,,,,,,,,2SU24120273,,,,,,,,,,,,,,,,,,,,,,
8461,19135117,,,2021-06-28 17:06:02,2021-06-30 13:57:00,,,,,,,,2SU24040811,,,,,,,,,,,,,,,,,,,,,,
8584,21051299,,,2022-02-08 10:30:03,2022-02-09 21:42:00,,,,,,,,РН002,,,,,,,,,,,,,,,,,,,,,,
8673,22012397,,,2022-06-17 11:01:26,2022-06-18 22:24:00,,,,,,,,0-WS3004047,,,,,,,,,,,,,,,,,,,,,,
8778,22316743,,,2022-08-04 09:57:23,2022-08-04 20:43:00,,,,,,,,WS042199-0,,,,,,,,,,,,,,,,,,,,,,
1,667573,Успешно_реализовано,2600.0,2020-03-02 15:39:28,2020-07-10 10:40:00,,,Подарочный_сертификатна_Флайборд_(Выберите_тип:_20_минут_)_-_1x2600_=_2600,2600.0,2600.0,,Флайборд_/_Ховерборд_/_Ранец,MF_268600,,,,,,,Погашен,2020-01-07,,,MF,268600,MF,paper,design1,sold_used,2600.0,,,,,2020-01-07
12,2043497,Успешно_реализовано,0.0,2020-03-12 16:42:41,2020-03-12 16:46:00,,,,,,7350.0,Флайборд_/_Ховерборд_/_Ранец,MF_646167,,,,,,,,,,,MF,646167,MF,paper,design1,,,,,,,
14,2043493,Успешно_реализовано,3900.0,2020-03-12 16:42:41,2020-03-12 16:46:00,,,,,,3900.0,Флайборд_/_Ховерборд_/_Ранец,MF_371525,,,,,,,,,,,MF,371525,MF,paper,design1,,,,,,,
15,2043491,Успешно_реализовано,4250.0,2020-03-12 16:42:41,2020-03-12 16:46:00,,,,,,4250.0,Флайборд_/_Ховерборд_/_Ранец,MF_397914,,,,,,,,,,,MF,397914,MF,paper,design1,,,,,,,
17,2043465,Успешно_реализовано,7290.0,2020-03-12 16:42:41,2020-07-10 18:34:00,,290,,,,,Флайборд_/_Ховерборд_/_Ранец,MF_617897,,,,,,,Погашен,2020-01-07,,,MF,617897,MF,paper,design1,sold_used,,,,,,2020-01-07
18,2043485,Успешно_реализовано,8000.0,2020-03-12 16:42:41,2020-03-12 16:45:00,,,,,,8000.0,Квадроциклы,KVP1X2_?87255,,,,,,,,,,,KVP1X2,?87255,KVP1X2,paper,design1,,,,,,,
30,3448579,Успешно_реализовано,3900.0,2020-03-23 17:42:26,2020-07-10 18:31:00,,,,,,3900.0,Флайборд_/_Ховерборд_/_Ранец,MF_395830,,,,,,,,,,,MF,395830,MF,paper,design1,,,,,,,
42,3898653,Успешно_реализовано,2600.0,2020-03-26 16:21:50,2020-07-10 18:31:00,,,,,,2600.0,Флайборд_/_Ховерборд_/_Ранец,MF_241960,,,,,,,,,,,MF,241960,MF,paper,design1,,,,,,,
