,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
254,9226113,Успешно_реализовано,7500.0,2020-07-10 13:26:36,2020-07-12 16:06:00,,,,,,7500,Вейксёрф_и_вейк_за_катером,WS672370,,,,,,,Погашен,2020-09-08,,,,,,,,,,,,,,
264,9263961,Успешно_реализовано,12998.0,2020-07-11 16:13:31,2020-07-13 19:37:00,,553,,,,12998,Универсальный_Мосвейк_12345,W58012,,,,,,,Погашен,,,,,,,,,,,,,,,
278,9345889,Успешно_реализовано,4384.0,2020-07-13 16:00:02,2020-07-17 11:23:00,,384,,,,4384,САП-сёрф,2SU24055238,,,,,,,Погашен,,,,,,,,,,,,,,,
281,9374673,Успешно_реализовано,7500.0,2020-07-14 11:45:47,2020-07-16 20:28:00,,,,,,7500,Вейксёрф_и_вейк_за_катером,WS630112,,,,,,,Погашен,2020-06-08,,,,,,,,,,,,,,
284,9384863,Успешно_реализовано,4000.0,2020-07-14 14:53:35,2020-07-16 20:28:00,,,,,,4000,САП-сёрф,2SU24091375,,,,,,,,,,,,,,,,,,,,,,
292,9422801,Успешно_реализовано,7000.0,2020-07-15 15:54:49,2020-07-16 20:28:00,,,,,,7000,Вейк-парк,2WP30230,,,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
308,9504176,Успешно_реализовано,4800.0,2020-07-17 14:59:45,2020-07-17 21:22:00,,381,,,,4800,Флайборд_/_Ховерборд_/_Ранец,FJ43612,,,,,,,,,,,,,,,,,,,,,,
319,9540233,Успешно_реализовано,3000.0,2020-07-18 19:33:14,2020-07-18 22:03:00,,,,,,2700,Флайборд_/_Ховерборд_/_Ранец,73739,,,,,,,,,,,,,,,,,,,,,,
333,9626121,Успешно_реализовано,4750.0,2020-07-21 10:08:30,2020-07-22 17:04:00,,,,,,4750,Флайборд_/_Ховерборд_/_Ранец,FJ97345,,,,,,,Погашен,,,,,,,,,,,,,,,
334,9633137,Успешно_реализовано,7900.0,2020-07-21 12:33:06,2020-07-22 17:04:00,,,Подарочный_сертификатна_Вейкборд_за_катером_(Выберите_тип:_1_час_)_-_1x7500_=_7500,7900.0,7500.0,7900,Вейксёрф_и_вейк_за_катером,WS66537,,,,,,,,,,,,,,,,,,,,,,
336,9651285,Успешно_реализовано,7850.0,2020-07-21 19:15:33,2020-07-22 17:04:00,,,,,,7850,Вейксёрф_и_вейк_за_катером,WS22115,,,,,,,,,,,,,,,,,,,,,,
347,9725903,Успешно_реализовано,3500.0,2020-07-23 11:30:29,2020-07-27 12:37:00,,,,,,3500,Вейк-парк,WP639349,,,,,,,,,,,,,,,,,,,,,,
348,9728057,Успешно_реализовано,4700.0,2020-07-23 12:07:26,2020-07-27 12:37:00,,327,,,,4700,Флайборд_/_Ховерборд_/_Ранец,FJ36655,,,,,,,Погашен,,,,,,,,,,,,,,,
363,9792733,Успешно_реализовано,7500.0,2020-07-26 11:46:26,2020-07-28 11:39:00,,,,,,7500,Вейксёрф_и_вейк_за_катером,WS37819,,,,,,,,,,,,,,,,,,,,,,
394,9963485,Успешно_реализовано,4000.0,2020-07-31 14:47:26,2020-07-31 16:09:00,,,,,,4000,САП-сёрф,W2SU24774717,,,,,,,,,,,,,,,,,,,,,,
