,id,amo_id,amo_lead_id,prefix,code,card_type,design_type,status,supplier_payment_date,sale_price,sale_date,expiry_date,card_used_date,created_at,updated_at,deleted_at,number
2263,,,23653171,VWS20,VWS20_2546652,electronic,design1,sold_used,2023-08-27,3000.0,2023-10-02 13:41:00,,2023-08-27,,,,2546652
2270,,,24048603,WS20,WS20_142007,paper,design1,sold_used,2023-08-13,3300.0,2023-11-04 17:13:00,,2023-08-13,,,,142007
2279,,,24261179,KR2,KR2_274491,paper,design1,,,3000.0,2023-05-13 00:45:00,,,,,,274491
2294,,,24533039,KR4,KR4_135721,paper,design1,,,5500.0,2023-06-14 10:55:00,,,,,,135721
2304,,,24774585,WS20,WS20_176175,paper,design1,sold_used,2023-11-08,3300.0,2023-10-07 20:25:00,,2023-11-08,,,,176175
2314,,,24777563,WS20,WS20_286534,paper,design1,sold_used,2023-08-13,3300.0,2023-10-07 20:58:00,,2023-08-13,,,,286534
2318,,,25050651,SG7,SG7_85978,paper,design1,,,7000.0,2023-10-08 15:33:00,,,,,,85978
2319,,,25050603,WS60,WS60_271596,paper,design1,,,9600.0,2023-10-08 15:33:00,,,,,,271596
2329,,,25053859,VEF60,VEF60_3846203,electronic,design1,sold_used,2023-05-09,10500.0,2023-10-08 20:51:00,,2023-05-09,,,,3846203
2333,,,25273913,VWS20,VWS20_4184895,electronic,design1,,,3600.0,2023-10-09 15:58:00,,,,,,4184895
2334,,,25273975,WSN60,WSN60_281349,paper,design1,,,10000.0,2023-12-09 19:53:00,,,,,,281349
2425,,,24056111,VWS60,VWS60_2892426,electronic,design1,,,10200.0,2023-11-04 18:34:00,,,,,,2892426
2432,,,24267977,KR4,KR4_112538,paper,design1,,,5500.0,2023-05-19 13:34:00,,,,,,112538
2434,,,24280123,VWS60,VWS60_3095247,electronic,design1,sold_used,2023-08-07,8500.0,2023-12-05 15:47:00,,2023-08-07,,,,3095247
2435,,,24280271,KR4,KR4_267941,paper,design1,sold_used,2023-06-25,5500.0,2023-05-19 13:38:00,,2023-06-25,,,,267941
2459,,,25058899,WS20,WS20_151897,paper,design1,sold_used,2023-09-24,3600.0,2023-08-13 09:39:00,,2023-09-24,,,,151897
2475,,,25976739,SN2X1,SN2X1_194516,paper,design1,,,10000.0,2023-11-14 11:21:00,,,,,,194516
2495,,,26020351,SN2X1,SN2X1_182173,paper,design1,,,10000.0,2023-11-16 20:29:00,,,,,,182173
2496,,,26020655,SN2X1,SN2X1_149897,paper,design1,,,10000.0,2023-11-18 15:01:00,,,,,,149897
2514,,,25821661,WS60,WS60_239527,paper,design1,,,,2023-11-22 11:11:00,,,,,,239527
2515,,,26051753,VSN2X1,VSN2X1_4330744,electronic,design1,,,10000.0,2023-11-20 10:00:00,,,,,,4330744
2535,,,26110583,SN2X1,SN2X1_180491,paper,design1,,,10000.0,2023-11-29 14:42:00,,,,,,180491
2545,,,26142669,SN2X1,SN2X1_179814,paper,design1,,,10000.0,2023-11-28 17:34:00,,,,,,179814
2575,,,24064295,VWS60,VWS60_2895661,electronic,design1,sold_used,2023-07-16,8500.0,2023-12-04 19:03:00,,2023-07-16,,,,2895661
