,prefix
0,
1,60WAKE
2,AT
3,AWP
4,D
5,EFL
6,GRT
7,HY30T
8,HY60T30
9,JT2
10,JT4A
11,KV1X
12,KVC
13,KVP1X
14,KVP1X2
15,MF
16,MF30134139
17,MF306120784
18,PH20
19,SKI40T
20,SKI60T
21,SN2X4
22,SN60
23,SVH
24,TR30
25,WF
26,WP24
27,WPA
28,WS
29,WS20T
30,WS20TR
31,WS30T
32,WS40T
33,WS6
34,WS60T
35,WSN40T
36,WSN60T
37,WTF
