,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,сертификат_на_фотографа,сертификат_на_тренера,статус_погашения,card_used_date,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
1097,24437073,Успешно_реализовано,15945.0,2023-05-31 17:03:11,2023-05-31 19:08:00,0.0,,"Подарочный_сертификатна_вейк_за_катером_(Выберите_тип:_20_минут_Mastercraft_-_3_600_руб._,_Тренер:_Без_тренера)_-_1x3600_=_3600;_
Подарочный_сертификат_на_12_345_рублей_-_1x12345_=_12345",15945.0,15945.0,15945,Универсальный_Мосвейк_12345,W&F264478,,,,,,,,,,,,,,,,,,,
1145,24481193,Успешно_реализовано,18000.0,2023-06-06 14:31:28,2023-10-06 12:09:00,0.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x18000_=_18000",18000.0,18000.0,18000,Парашюты,S267801,,,,,Погашен,2023-03-10,,,,,,,,,,,,,
1224,24560759,Успешно_реализовано,12345.0,2023-06-15 19:52:05,2023-06-14 20:28:00,,,Универсальный_12345_(Бумажный_или_электронный:_Бумажный)_-_1x12345_=_12345,12345.0,12345.0,12345,Универсальный_Мосвейк_12345,W&F84321,,,,,,,,,,,,,,,,,,,
1499,24487700,Успешно_реализовано,18450.0,2023-07-06 10:23:10,2023-10-06 12:16:00,450.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x18000_=_18000",18450.0,18000.0,18450,Парашюты,S295045,,,,,,,,,,,,,,,,,,,
1591,24816735,Успешно_реализовано,0.0,2023-07-15 09:04:30,2023-07-17 12:46:00,,,,,,0,Багги,19529,#24815607,BG_220721,,,,,,,,,,,,,,,,,
1761,24917713,Успешно_реализовано,12795.0,2023-07-27 15:57:20,2023-07-28 18:35:00,450.0,,Подарочный_Сертификат_на_12345_рублей_(Бумажный_или_электронный:_Бумажный)_-_1x12345_=_12345,12795.0,12345.0,12795,Универсальный_Мосвейк_12345,W&F281575,,,,,,,,,,,,,,,,,,,
1858,25034087,Успешно_реализовано,12345.0,2023-08-08 14:46:56,2023-08-08 15:39:00,,,Универсальный_12345_(Бумажный_или_электронный:_Бумажный)_-_1x12345_=_12345,12345.0,12345.0,12345,Универсальный_Мосвейк_12345,W&F239449,,,,,,,,,,,,,,,,,,,
2257,23443209,Успешно_реализовано,0.0,2023-10-01 18:26:42,2023-10-01 18:28:00,,,,,,,САП-сёрф,VSU75738,,,,,,,,,,,,,,,,,,,
2258,23443225,Успешно_реализовано,0.0,2023-10-01 18:29:34,2023-10-01 18:29:00,,,,,,,Вейк-парк,VWP62133,,,,,,,,,,,,,,,,,,,
2275,24259447,Успешно_реализовано,12345.0,2023-10-05 15:44:40,2023-05-13 00:41:00,,,Универсальный_12345_(Бумажный_или_электронный:_Бумажный)_-_1x12345_=_12345,12345.0,12345.0,12345,Универсальный_Мосвейк_12345,W&F271026,,,,,Погашен,2023-09-22,,,,,,,,,,,,,
