iter	Passed	Remaining
441	1642	215
442	1646	211
443	1649	208
444	1653	204
445	1657	200
446	1660	196
447	1664	193
448	1668	189
449	1672	185
450	1676	182
451	1679	178
452	1683	174
453	1687	170
454	1691	167
455	1694	163
456	1698	159
457	1702	156
458	1705	152
459	1709	148
460	1713	144
461	1716	141
462	1720	137
463	1724	133
464	1727	130
465	1731	126
466	1735	122
467	1738	118
468	1742	115
469	1745	111
470	1749	107
471	1753	103
472	1756	100
473	1760	96
474	1763	92
475	1767	89
476	1771	85
477	1774	81
478	1778	77
479	1782	74
480	1785	70
481	1789	66
482	1792	63
483	1796	59
484	1800	55
485	1803	51
486	1807	48
487	1810	44
488	1814	40
489	1818	37
490	1821	33
491	1825	29
492	1828	25
493	1832	22
494	1836	18
495	1839	14
496	1843	11
497	1846	7
498	1850	3
499	1854	0
