iter	Logloss
120	0.2467328324
121	0.2459648427
122	0.2451677592
123	0.2443151891
124	0.2428730679
125	0.2425696367
126	0.2416691246
127	0.2403050977
128	0.2397233418
129	0.239015068
130	0.2375912688
131	0.2367548896
132	0.2357022625
133	0.2352054856
134	0.2349595754
135	0.2343789363
136	0.2338185156
137	0.232265009
138	0.2316549363
139	0.2312871925
140	0.2307535064
141	0.2304082662
142	0.2289838223
143	0.2283308212
144	0.2273052167
145	0.2263846527
146	0.2257968259
147	0.2252981186
148	0.2242389631
149	0.2238177166
150	0.2232387516
151	0.2225342578
152	0.221218702
153	0.2199016774
154	0.2193887573
155	0.2186585552
156	0.2184101106
157	0.2180768587
158	0.2175345028
159	0.2168230954
160	0.2163891575
161	0.2155924839
162	0.2146356943
163	0.2142161523
164	0.2135795335
165	0.2121938887
166	0.2115062636
167	0.2112932286
168	0.2109165741
169	0.210602166
170	0.2100621486
171	0.2096667478
172	0.2092272437
173	0.2081174894
174	0.2077069794
175	0.2073507925
176	0.2067514435
177	0.206128451
178	0.205413317
179	0.2050388779
180	0.2044682457
181	0.2038206458
182	0.2033208815
183	0.2029449846
184	0.202393068
185	0.2016807976
186	0.2013756359
187	0.2011179567
188	0.2001771388
189	0.1997437612
190	0.1990433988
191	0.1987778807
192	0.1981365854
193	0.1978938559
194	0.1973750165
195	0.1967780151
196	0.1963610376
197	0.1958884395
198	0.1952777006
199	0.1950660576
200	0.194611352
201	0.1939124268
202	0.1933968936
203	0.1932024572
204	0.1930393755
205	0.1924427784
206	0.1921710804
207	0.1913448157
208	0.1910546605
209	0.1907273687
210	0.1904316511
211	0.1900247987
212	0.1894000126
213	0.1888976584
214	0.1886735251
215	0.1883009035
216	0.1877349633
217	0.1869073582
218	0.1864327295
219	0.1860427713
220	0.1856099551
221	0.185306487
222	0.1849939768
223	0.1847367077
224	0.1844314921
225	0.1842220684
226	0.1839075196
227	0.1835608362
228	0.1833646573
229	0.1831607396
230	0.1827567663
231	0.1824596798
232	0.1820921501
233	0.1819582768
234	0.1813963123
235	0.1811348985
236	0.1807604052
237	0.1806532947
238	0.1803552302
239	0.1799393267
240	0.179809017
241	0.1796087064
242	0.1794122419
243	0.1792731776
244	0.1788046314
245	0.1784571923
246	0.1783204389
247	0.1780565721
248	0.1776529752
249	0.1773867429
250	0.1769782735
251	0.1767692309
252	0.1766730859
253	0.1759569055
254	0.1757965667
255	0.1755410755
256	0.1752802685
257	0.1751456121
258	0.1749501917
259	0.1742695551
260	0.1739744598
261	0.1733230927
262	0.1731082975
263	0.1722977649
264	0.1721094556
265	0.1719505236
266	0.171645379
267	0.1713803685
268	0.1711660536
269	0.1709030918
270	0.170675532
271	0.1705747076
272	0.1703908602
273	0.1702747642
274	0.1698299903
275	0.1694588214
276	0.1686726907
277	0.1684896378
278	0.1682587671
279	0.1679196372
280	0.1674770462
281	0.1671422506
282	0.1670204407
283	0.1668542458
284	0.1664745503
285	0.1663229311
286	0.1658368301
287	0.1654069973
288	0.1648495927
289	0.1647316957
290	0.1641983352
291	0.1639003462
292	0.1637952687
293	0.1633879634
294	0.1628992535
295	0.1623642673
296	0.1621585324
297	0.1619440538
298	0.1617267341
299	0.1614375584
300	0.1612290167
301	0.1610728711
302	0.1608315447
303	0.1604906358
304	0.1602387464
305	0.1599097396
306	0.1595287562
307	0.1590136101
308	0.1588769811
309	0.1587196916
310	0.1583390996
311	0.1581116607
312	0.1579071747
313	0.1576331554
314	0.1571013355
315	0.1567917986
316	0.1566544654
317	0.1565424019
318	0.1559597349
319	0.155706113
320	0.1552779633
321	0.155153987
322	0.1549954951
323	0.1548677062
324	0.1547461097
325	0.1545370965
326	0.154430932
327	0.1543615561
328	0.1539270475
329	0.1535619211
330	0.1533493213
331	0.153115107
332	0.1529346868
333	0.152801632
334	0.1525330869
335	0.1523576152
336	0.1520107622
337	0.1516163007
338	0.1514478559
339	0.1512394545
340	0.1508415522
341	0.1506334985
342	0.1504038235
343	0.1502428001
344	0.1500053948
345	0.1498642396
346	0.1495957155
347	0.1492587932
348	0.1491562818
349	0.1490411706
350	0.1488525733
351	0.1485405099
352	0.1484343445
353	0.148185514
354	0.1479705069
355	0.1477963104
356	0.1474049469
357	0.1471902305
358	0.1467497412
359	0.1464264076
360	0.1461255567
361	0.1458514554
362	0.1455222412
363	0.1453445126
364	0.1451560326
365	0.1447178505
366	0.1445287607
367	0.144263525
368	0.1440122444
369	0.1438252425
370	0.1436476
371	0.1434408171
372	0.1432741957
373	0.143130681
374	0.1430202498
375	0.1428090456
376	0.1427125011
377	0.142542065
378	0.1424023952
379	0.142284959
380	0.1421599583
381	0.1420350928
382	0.1418831651
383	0.1417128053
384	0.1415038419
385	0.1414196308
386	0.1412851072
387	0.1410450092
388	0.1408386107
389	0.1406197434
390	0.140529381
391	0.1403452341
392	0.1402773349
393	0.1401552622
394	0.1401140039
395	0.1398781607
396	0.1398437911
397	0.1393265667
398	0.1392184211
399	0.1390247801
400	0.1388474446
401	0.1386447172
402	0.1385042223
403	0.138383126
404	0.1380645587
405	0.1378936481
406	0.1376120294
407	0.137414798
408	0.13701481
409	0.1367168389
410	0.1365211637
411	0.1363093225
412	0.1361446243
413	0.1360559764
414	0.1359232176
415	0.1358170137
416	0.1357081978
417	0.1356420933
418	0.1355058056
419	0.1352116169
420	0.1350574707
421	0.1349879286
422	0.1348894961
423	0.1347499796
424	0.1346655621
425	0.1345134132
426	0.1343599293
427	0.1343276516
428	0.1341250873
429	0.1340226763
430	0.1339302941
431	0.1337861631
432	0.1336306175
433	0.1335328245
434	0.1332308783
435	0.1330722426
436	0.13287254
437	0.1325895492
438	0.1324920229
439	0.1323492788
440	0.1321671298
441	0.1319807778
442	0.1318565484
443	0.1317141892
444	0.1315781241
445	0.1314142973
446	0.1312211682
447	0.1310546496
448	0.1309377596
449	0.1307834678
450	0.1305996681
451	0.1305010982
452	0.1303106405
453	0.1301487712
454	0.1299716324
455	0.129829928
456	0.1296756975
457	0.1295373033
458	0.1292492311
459	0.1290516466
460	0.1289182955
461	0.1288649704
462	0.1288176163
463	0.128685678
464	0.1284284636
465	0.1282120496
466	0.1280851927
467	0.1278521095
468	0.1277758652
469	0.1276936612
470	0.1275761426
471	0.127504351
472	0.1273476235
473	0.1271810042
474	0.1270810953
475	0.1269072714
476	0.1267088458
477	0.126646097
478	0.1264164021
479	0.1262998834
480	0.1260944492
481	0.1258316115
482	0.1257454131
483	0.1256682108
484	0.1255822061
485	0.1254446364
486	0.125263204
487	0.125195793
488	0.1251470265
489	0.1249779044
490	0.1248926618
491	0.1246827486
492	0.1245996062
493	0.1244386411
494	0.1243290269
495	0.1241472785
496	0.1239066598
497	0.1237544376
498	0.123507227
499	0.1234493483
