iter	Logloss
0	0.6121821166
1	0.5530716619
2	0.5093849824
3	0.4731917541
4	0.4487091235
5	0.4264481724
6	0.4128531899
7	0.3993859186
8	0.3891528514
9	0.3783719435
10	0.3701935338
11	0.3656399048
12	0.3596315746
13	0.3546417305
14	0.3513645967
15	0.3487345397
16	0.3468643256
17	0.3448826938
18	0.3423967078
19	0.34069976
20	0.3389501331
21	0.3376151336
22	0.3372609999
23	0.3359840558
24	0.3348299338
25	0.3319784894
26	0.3310277559
27	0.3289250252
28	0.3281153197
29	0.3258754832
30	0.3249111498
31	0.3242453752
32	0.3235875682
33	0.3232282768
34	0.3222131729
35	0.3212263648
36	0.3202554979
37	0.3197079595
38	0.319237759
39	0.3175406153
40	0.3171445944
41	0.3162141773
42	0.3137416609
43	0.3128612453
44	0.3125906726
45	0.3125713732
46	0.3119420115
47	0.3115850319
48	0.3109659051
49	0.3104734321
50	0.3089285371
51	0.3083835969
52	0.3076352305
53	0.3059916035
54	0.305227614
55	0.304602512
56	0.3042737009
57	0.3036533473
58	0.3026596905
59	0.3013219178
60	0.3004388582
61	0.3001119715
62	0.2995280101
63	0.298686888
64	0.2970557991
65	0.2965976083
66	0.2953992101
67	0.29383172
68	0.2929043865
69	0.2915100459
70	0.2910706029
71	0.2907644555
72	0.28920736
73	0.2879557351
74	0.2875340239
75	0.2868296094
76	0.2861294516
77	0.2856874022
78	0.2849471208
79	0.2843943589
80	0.2837488829
81	0.2828163887
82	0.2823689601
83	0.2819150694
84	0.2811787402
85	0.2806513859
86	0.2797490535
87	0.2793962334
88	0.2790533469
89	0.27865411
90	0.2776905458
91	0.2771861222
92	0.2755179695
93	0.2744902465
94	0.273795189
95	0.2723573371
96	0.2711603784
97	0.2703275332
98	0.2692420504
99	0.2684478834
100	0.26683148
101	0.2656604177
102	0.2646650309
103	0.2637242152
104	0.2618833347
105	0.2613546632
106	0.2601925119
107	0.2594914613
108	0.2583212011
109	0.2570977767
110	0.2556306215
111	0.2545638347
112	0.2531188848
113	0.2526519971
114	0.251488019
115	0.2508275615
116	0.2492531809
117	0.2488911627
118	0.2476834346
119	0.2471646292
