"Источник трафика","Источник трафика (детально)","Тип площадки","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте","Количество покупок","Доход, RUB","Доля посетителей, совершивших заказ"
"Переходы по ссылкам на сайтах","internet-start.net","Не определено","1","1","0.0","1.0","00:00:16","0","0.0","0.0"
"Переходы по ссылкам на сайтах","lilianishoes.ru","Не определено","1","1","0.0","4.0","00:02:02","0","0.0","0.0"
"Переходы по ссылкам на сайтах","mail.ru","Не определено","1","1","0.0","1.0","00:02:11","0","0.0","0.0"
"Переходы по ссылкам на сайтах","metrika.yandex.ru","Не определено","1","1","0.0","5.0","00:25:06","0","0.0","0.0"
"Переходы по ссылкам на сайтах","moskva.tradedir.ru","Не определено","1","1","0.0","2.0","00:00:30","0","0.0","0.0"
"Переходы по ссылкам на сайтах","nova.rambler.ru","Не определено","1","1","0.0","1.0","00:00:27","0","0.0","0.0"
"Переходы по ссылкам на сайтах","orto.su","Не определено","1","1","0.0","1.0","00:00:29","0","0.0","0.0"
"Переходы по ссылкам на сайтах","piterpolet.com","Не определено","1","1","0.0","4.0","00:02:06","0","0.0","0.0"
"Переходы по ссылкам на сайтах","portal.illan.ru","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
"Переходы по ссылкам на сайтах","project8271821.tilda.ws","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
"Переходы по ссылкам на сайтах","ptwnaalzdbxubdu4_sas_805_49dfd79c7d69bcad047d7d4d59c6d387.onlyoffice.disk.yandex.net","Не определено","1","1","0.0","6.0","00:01:21","0","0.0","0.0"
"Переходы по ссылкам на сайтах","qx9.ru","Не определено","1","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по ссылкам на сайтах","rx24.ru","Не определено","1","1","0.0","1.0","00:00:19","0","0.0","0.0"
"Переходы по ссылкам на сайтах","statics.teams.cdn.office.net","Не определено","1","1","0.0","7.0","00:02:46","0","0.0","0.0"
"Переходы по ссылкам на сайтах","weixin110.qq.com","Не определено","1","1","0.0","3.0","00:02:50","0","0.0","0.0"
"Переходы по ссылкам на сайтах","xmwb6ustyn63tobw_sas_805_c0b4e2e68c442ab85dd71f8a0d8c42b9.onlyoffice.disk.yandex.net","Не определено","1","1","1.0","1.0","00:00:02","0","0.0","0.0"
"Переходы по ссылкам на сайтах","xraycars.ru","Не определено","1","1","0.0","2.0","00:00:10","0","0.0","0.0"
"Переходы по ссылкам на сайтах","ya.ru","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
"Переходы по ссылкам на сайтах","yachtingacademy.bitrix24.ru","Не определено","1","1","0.0","8.0","00:05:54","0","0.0","0.0"
"Переходы из поисковых систем","Rambler","Не определено","1","1","0.0","3.0","00:00:41","0","0.0","0.0"
"Не определено","Не определено","Не определено","1","1","1.0","1.0","00:00:00","0","0.0","0.0"
"Переходы по QR-коду","QR-коды: Яндекс","Не определено","1","1","1.0","1.0","00:00:01","0","0.0","0.0"
