"Клиент ООО Мосвейк (mosfly-gift), период 01.01.2024 - 10.03.2024"
"Всего";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. цена тыс. показов (руб.)";"Глубина (стр.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.01.2024 по 10.03.2024";;6014,34;167158;11161;6,68;421003,85;37,72;2518,60;2,10;62,03;60,81;6923

"Дата";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. цена тыс. показов (руб.)";"Глубина (стр.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
29.02.2024;1898;204;10,75;8448,75;41,42;4451,40;2,21;69,61;59,50;142
01.03.2024;2027;220;10,85;8114,35;36,88;4003,13;2,32;67,27;54,83;148
02.03.2024;1941;218;11,23;7957,16;36,50;4099,52;2,21;63,30;57,66;138
03.03.2024;1529;136;8,89;4568,60;33,59;2987,97;2,23;69,85;48,09;95
04.03.2024;2094;234;11,17;8693,98;37,15;4151,85;2,38;69,66;53,34;163
05.03.2024;1812;202;11,15;8433,79;41,75;4654,41;2,05;64,85;64,38;131
06.03.2024;1807;185;10,24;8416,59;45,50;4657,77;2,11;66,49;68,43;123
07.03.2024;1548;174;11,24;7003,59;40,25;4524,28;2,10;62,07;64,85;108
08.03.2024;1468;173;11,78;5844,04;33,78;3980,96;2,04;68,21;49,53;118
09.03.2024;1449;181;12,49;6139,14;33,92;4236,81;2,28;62,43;54,33;113
10.03.2024;1373;152;11,07;3953,49;26,01;2879,45;2,21;67,76;38,38;103
